"","TriMAP1","TriMAP2"
"1",42.635464,26.073471
"2",-86.98517,-17.955303
"3",73.25946,0.16420077
"4",25.603943,-16.497562
"5",85.29499,18.628023
"6",46.682808,-13.196443
"7",7.030152,-17.422308
"8",25.74809,15.136016
"9",-16.485687,-26.390862
"10",73.939926,29.13902
"11",51.06764,-2.7237964
"12",57.740013,26.653444
"13",5.7764645,-13.743948
"14",-0.31136084,-30.853971
"15",-22.575161,37.545162
"16",-79.9384,-28.249542
"17",43.453213,35.5362
"18",17.129057,-31.541306
"19",-86.75035,-17.899313
"20",43.722378,35.771603
"21",-75.64286,-16.948986
"22",78.38537,-12.793716
"23",-5.553864,31.864603
"24",-84.41568,12.7817335
"25",69.35034,-6.5200205
"26",-68.51631,1.6924562
"27",24.662619,-30.972897
"28",-65.81106,-23.543991
"29",-8.58766,-16.940388
"30",-5.732683,-29.931675
"31",-43.43522,8.287181
"32",-18.769289,-5.336911
"33",-83.50143,16.201466
"34",-55.211464,-3.1281958
"35",-11.576227,-15.874386
"36",54.855682,25.784092
"37",4.526767,-19.284359
"38",86.110176,-16.44734
"39",-44.03177,-3.425104
"40",5.1181006,14.183001
"41",29.895596,-23.898209
"42",85.85656,-16.62291
"43",39.497414,-34.627613
"44",-53.935726,-9.934936
"45",46.658768,-7.3368793
"46",-87.784904,-10.642588
"47",75.81709,22.260458
"48",75.105995,-33.279633
"49",-9.458966,23.787668
"50",-10.981272,28.36802
"51",-34.637424,-1.8235396
"52",-87.48188,-24.704536
"53",19.966702,-2.2383971
"54",85.16668,18.48537
"55",-39.55506,-27.994598
"56",-82.79471,21.133924
"57",-0.524108,7.954126
"58",52.224262,-2.4822524
"59",-17.26072,0.72976035
"60",-75.52956,3.5073104
"61",56.565197,-34.461666
"62",-26.189138,37.193096
"63",30.423672,11.26638
"64",63.296577,30.595598
"65",83.81334,-15.534375
"66",79.094376,-17.174456
"67",-88.71807,-19.732353
"68",68.063,13.103963
"69",-76.48277,24.920033
"70",10.407493,37.175117
"71",4.5120435,-30.914536
"72",-38.86912,19.790178
"73",2.8865573,-0.34438467
"74",-28.550722,-23.51883
"75",-40.713627,-20.587397
"76",64.2496,27.466791
"77",-19.13638,1.6368903
"78",86.8267,-26.166477
"79",-65.90792,22.538927
"80",-18.134954,-8.563781
"81",51.86452,-28.372023
"82",-11.618066,37.615776
"83",79.25672,-26.97678
"84",-80.99788,18.720629
"85",87.00515,9.951082
"86",-88.10897,-18.835588
"87",-53.8053,12.214873
"88",85.46024,10.86168
"89",-84.78703,14.273801
"90",-64.91063,-17.165274
"91",-80.357376,22.95809
"92",-12.792748,37.698
"93",-26.559816,32.855923
"94",-83.890755,11.498866
"95",-81.70383,-4.134318
"96",-20.343374,4.6688204
"97",57.841885,-7.2652073
"98",38.02554,-35.312283
"99",58.72182,-15.6472
"100",44.415146,-34.71611
"101",72.445915,-17.199078
"102",86.95171,-18.256887
"103",83.17169,24.347408
"104",50.52808,-14.534247
"105",-82.614525,23.029728
"106",87.254364,8.274329
"107",31.758265,-5.9585576
"108",14.810603,-24.19245
"109",-27.28277,19.419872
"110",-82.59468,12.464158
"111",25.618444,18.356884
"112",-19.549109,-26.389214
"113",-43.292614,31.467882
"114",74.2619,-20.735449
"115",-59.40953,-6.955344
"116",50.85646,25.637424
"117",-69.01667,1.148667
"118",-25.412365,-7.562769
"119",62.780174,13.676835
"120",81.54652,22.984093
"121",24.906519,-29.299793
"122",0.63177925,-31.060532
"123",78.55918,-27.521767
"124",73.920166,-16.872665
"125",-54.879826,-27.810497
"126",-15.582524,2.5563602
"127",-74.829765,11.111072
"128",74.28335,-17.154911
"129",-70.86321,-20.022291
"130",-9.912143,37.125595
"131",-46.05576,12.776906
"132",-31.601234,5.6895013
"133",31.48549,26.121984
"134",74.87752,15.435843
"135",-66.27053,-5.199336
"136",-14.587847,24.45207
"137",-75.80233,-1.7925516
"138",-56.822983,-26.385756
"139",-14.929347,-3.168907
"140",-65.96749,19.547646
"141",29.630821,6.847103
"142",1.724278,5.57076
"143",84.47248,22.652214
"144",-76.976295,-29.313364
"145",44.707535,-19.63831
"146",-66.21975,-0.7557376
"147",-68.60464,-1.0384768
"148",49.360344,-34.3476
"149",44.087517,21.864496
"150",-58.14979,-0.89308673
"151",-39.54198,-22.012281
"152",31.03054,19.63348
"153",-82.35541,-9.503495
"154",-82.07875,24.28687
"155",-77.38693,-8.43978
"156",67.178635,-34.683243
"157",-19.079836,-7.6425447
"158",-16.781015,38.01179
"159",12.261516,22.32319
"160",-83.47802,-2.6216576
"161",-13.714179,-30.783941
"162",-6.098996,-33.326763
"163",-16.930384,37.56434
"164",0.49950063,2.6671386
"165",-41.418728,31.13007
"166",57.621727,22.240942
"167",83.68982,5.48186
"168",-88.17091,-6.2531657
"169",-23.904749,-2.4278777
"170",7.3218007,37.34811
"171",-71.05725,2.734045
"172",-59.130226,-30.056149
"173",-14.07046,22.890652
"174",-70.89885,4.323338
"175",24.972637,-34.904205
"176",-68.39192,-28.740068
"177",-74.759186,4.5156145
"178",-25.18133,-7.8572774
"179",49.280952,34.063927
"180",-39.993923,33.098675
"181",-81.462296,19.98607
"182",86.80126,9.433959
"183",43.075558,-32.286556
"184",1.9455159,18.955486
"185",-56.939457,-30.032303
"186",6.383121,-10.296839
"187",-85.55338,-16.919992
"188",10.643794,0.95021147
"189",2.0095434,36.453148
"190",22.807423,-21.252134
"191",55.96137,33.173138
"192",-71.59214,18.84165
"193",-60.35463,-3.5197532
"194",-88.24179,-24.532473
"195",-1.1571497,37.75295
"196",12.2958145,-23.838455
"197",-18.750748,35.784744
"198",-87.03358,-18.391232
"199",-70.012596,-19.750908
"200",27.245266,-25.899403
"201",27.46541,-1.2845348
"202",74.13194,12.725929
"203",-59.255566,-10.142321
"204",-73.80272,-29.695251
"205",80.01867,25.711111
"206",46.420475,-23.12271
"207",41.719574,-17.684483
"208",-16.068357,-33.479317
"209",38.39727,-34.916
"210",6.1028056,4.4723144
"211",18.919867,-29.446604
"212",-89.31147,-15.164214
"213",10.643334,21.286293
"214",86.86268,-25.685705
"215",-35.667557,32.583023
"216",80.197784,6.615469
"217",14.808673,-21.242882
"218",57.961136,5.9896617
"219",81.22694,-13.978855
"220",-6.760845,-16.642666
"221",11.331354,14.532985
"222",-1.1967757,22.857643
"223",49.647385,-14.468468
"224",42.983734,-27.709555
"225",87.06409,9.668624
"226",-8.880454,5.900836
"227",5.0596232,36.583347
"228",-51.118942,-30.44399
"229",-16.941833,-4.503861
"230",44.026695,34.79914
"231",-37.778175,-31.783245
"232",16.181913,36.67232
"233",45.17713,-26.105968
"234",80.7147,1.8941259
"235",83.429146,18.580729
"236",-13.993186,22.586096
"237",73.5751,-16.355341
"238",44.789104,15.620837
"239",-42.034767,-9.552787
"240",85.13937,-16.735758
"241",-43.673462,-21.872187
"242",86.243355,9.230538
"243",-57.736736,30.105427
"244",32.334793,-26.189173
"245",-77.00146,-29.450048
"246",78.51014,-12.802351
"247",24.987965,22.870186
"248",80.17033,-26.903288
"249",83.874466,-20.49481
"250",41.257633,9.896344
"251",82.86704,-28.50295
"252",54.0994,-33.455544
"253",35.569843,-24.112627
"254",56.054295,33.14309
"255",-41.6417,16.533178
"256",-35.963375,-32.214634
"257",-51.673885,11.867522
"258",41.456314,-34.29675
"259",-39.709686,-17.89361
"260",-19.767107,-19.945345
"261",-46.654224,24.204082
"262",-49.629715,-20.06486
"263",68.169304,-34.761093
"264",-14.300021,34.130722
"265",-82.23969,24.688196
"266",40.65969,18.96178
"267",-65.29456,-29.904533
"268",-12.550284,-32.229454
"269",69.25529,29.995539
"270",-25.809963,-18.45903
"271",28.855707,14.825912
"272",80.52084,-13.728825
"273",77.83627,16.43056
"274",-84.528404,10.45108
"275",-60.832634,29.135239
"276",81.277916,21.07985
"277",-57.670525,-13.582183
"278",0.37480524,-28.694054
"279",48.277313,-1.6018561
"280",7.9916143,-7.5898457
"281",-35.480648,-20.93925
"282",-63.258102,-8.816766
"283",-82.551704,22.528833
"284",-75.82526,-28.793854
"285",87.16597,-20.802744
"286",-72.74426,-28.230947
"287",-22.669052,31.716692
"288",51.43113,33.683502
"289",-87.52968,-25.190641
"290",-84.60341,-7.0150084
"291",81.295074,-9.748557
"292",44.418903,34.96326
"293",-76.94728,-19.7644
"294",39.308903,35.493946
"295",70.41161,-5.823334
"296",80.959885,-26.913403
"297",-86.41278,-26.017288
"298",-31.571417,-4.9651394
"299",7.2924023,-32.416634
"300",64.99128,31.005703
"301",78.73783,27.96722
"302",43.22085,35.465572
"303",-18.817287,-24.203688
"304",70.36408,-6.5152926
"305",-86.92546,-18.151016
"306",32.058556,9.455924
"307",11.184805,-1.196617
"308",75.30522,13.112205
"309",18.861877,26.165266
"310",-78.38799,25.111837
"311",1.690387,2.1477633
"312",-62.37905,-21.12525
"313",-20.103926,-17.899664
"314",4.984888,10.058423
"315",73.15549,-15.414364
"316",-57.179832,-28.614328
"317",83.554535,23.978058
"318",-11.777304,-28.332792
"319",49.708233,21.877836
"320",76.041534,14.768302
"321",-57.554977,29.22064
"322",85.25355,17.795458
"323",15.984426,35.560013
"324",-42.853333,-28.188087
"325",6.025124,-1.2200875
"326",4.735319,-11.3828335
"327",24.664576,-28.26283
"328",-79.43807,25.324142
"329",-82.30769,20.3939
"330",-77.258354,19.32412
"331",-60.992596,29.214148
"332",-3.4608278,18.031065
"333",42.06016,23.036385
"334",73.30994,-15.276484
"335",-78.39312,12.614859
"336",-28.783504,30.038523
"337",29.04004,-18.964237
"338",41.149467,-34.90389
"339",52.99016,-34.911232
"340",-39.00763,-20.039131
"341",66.39592,-34.80143
"342",20.776672,23.553371
"343",27.76184,-6.242613
"344",-2.7204914,-1.1353526
"345",27.516838,24.02044
"346",-70.11529,-0.2570226
"347",-80.54213,-19.920837
"348",35.344368,-35.453026
"349",-79.24071,-25.478876
"350",52.679295,-34.308144
"351",1.4677593,37.811943
"352",38.559788,-35.653564
"353",-14.470109,31.738064
"354",72.32224,27.16001
"355",-21.039902,-5.693376
"356",-83.08812,21.932016
"357",-60.911064,28.548615
"358",63.487476,13.597294
"359",-79.98351,-28.164267
"360",-55.99431,17.064157
"361",81.61804,23.158264
"362",-44.737736,-27.498865
"363",-81.96976,15.196615
"364",28.077734,-29.89773
"365",70.49573,-4.604355
"366",-48.340305,19.007254
"367",-41.37386,11.874316
"368",-37.28057,32.308083
"369",86.77684,10.845047
"370",26.001202,20.822376
"371",-76.887184,-21.86622
"372",36.633747,-32.664524
"373",82.3664,24.934633
"374",-65.434296,-4.4981995
"375",-32.37908,-22.603548
"376",-16.076902,2.3774116
"377",-9.384494,28.05595
"378",-70.02987,-18.99909
"379",-65.459854,-1.0729505
"380",65.21168,-34.682632
"381",-58.258366,-1.650162
"382",80.92985,-19.083317
"383",84.337456,8.176605
"384",-88.99906,-12.142793
"385",76.703606,13.585137
"386",32.64693,8.842365
"387",86.86371,-18.475695
"388",-67.063934,16.504875
"389",-85.58495,7.4862437
"390",-76.84022,-19.307217
"391",61.38698,27.587692
"392",84.92133,21.490866
"393",-17.616364,-7.9628496
"394",28.269062,15.966716
"395",77.82208,-26.448105
"396",-82.628845,23.51178
"397",-80.347206,15.747946
"398",58.498917,-34.64895
"399",-48.51333,20.57895
"400",2.05011,-20.79238
"401",-44.75682,31.646881
"402",20.680262,-32.762733
"403",-9.899014,38.287308
"404",31.092886,4.1034737
"405",-31.093143,-13.054065
"406",41.849174,-33.35635
"407",-34.921753,-6.165355
"408",47.80583,8.177127
"409",-71.47697,18.063362
"410",-19.351824,-20.398386
"411",86.5691,-25.884007
"412",86.32601,-26.152756
"413",13.730684,-3.910539
"414",48.53933,-28.53675
"415",-8.7273445,-8.387727
"416",6.7094884,-10.849561
"417",-83.29449,-27.584644
"418",-13.9087305,-29.24114
"419",-42.67415,-20.838326
"420",-35.54484,29.79953
"421",-45.591095,-9.66653
"422",-3.8544672,2.3949666
"423",37.09798,-35.76868
"424",86.06078,-19.399996
"425",79.79891,-26.509226
"426",-49.556416,16.864458
"427",79.111885,24.002087
"428",-23.662369,37.18055
"429",-11.623289,38.232822
"430",-79.70811,-11.225581
"431",-19.65523,23.232203
"432",41.12967,-34.442814
"433",47.716614,-26.763397
"434",19.365461,-0.018014433
"435",-73.43871,19.360832
"436",75.87434,25.306265
"437",-86.48239,1.4439195
"438",-11.528272,29.060308
"439",-81.10402,24.49011
"440",74.885216,-32.96348
"441",-70.89722,26.032976
"442",-26.968372,35.95402
"443",83.00503,4.1796026
"444",-39.6024,-30.552492
"445",-16.963972,21.457367
"446",83.71817,-17.75628
"447",-9.079118,21.67602
"448",85.19402,14.790025
"449",-2.066757,-30.392075
"450",-67.54111,6.2134905
"451",46.97663,33.476326
"452",35.000263,32.567398
"453",-78.20503,-5.3229527
"454",-79.22092,-20.992254
"455",-48.71574,31.730768
"456",34.16825,35.667725
"457",78.04104,12.815904
"458",-75.16852,-29.612804
"459",-57.551857,13.698986
"460",10.374207,37.093266
"461",-78.11787,25.518452
"462",-16.111948,3.1773045
"463",76.8995,-19.504871
"464",84.965034,20.948357
"465",-34.057827,12.812501
"466",23.25541,14.752904
"467",-61.495766,29.04484
"468",-16.941462,-19.15835
"469",-21.748735,37.347546
"470",45.98728,21.497717
"471",-57.08156,15.314891
"472",78.80285,-24.493534
"473",-85.90345,-10.271174
"474",87.08746,9.789082
"475",30.079153,29.605772
"476",-44.575012,-31.873966
"477",12.000612,-2.9251945
"478",4.9825535,10.469345
"479",-0.37558705,-19.445547
"480",64.51245,31.066786
"481",-85.83811,3.4989142
"482",84.39906,15.341265
"483",78.9566,27.739155
"484",-14.179169,-27.90036
"485",73.570625,-10.75677
"486",72.65391,-33.638092
"487",67.447876,12.725618
"488",-39.497734,26.843706
"489",-88.098145,-10.905023
"490",-4.93429,-1.3149004
"491",32.979794,-33.489983
"492",79.38804,-28.568188
"493",-78.95231,-28.32562
"494",-85.0858,-5.591855
"495",-53.32321,-10.565447
"496",-17.076647,35.133175
"497",-88.41512,-23.43389
"498",49.30961,-1.3498834
"499",-40.068954,-31.068394
"500",74.319176,0.567169
